4,10.1.221.38,yihanwang,vsys1,Repeatedly visited (130) the same malicious URL e8f69594.wathspap.com/,2020-03-06
4,10.1.170.106,dadusei,vsys1,Repeatedly visited (115) the same malicious URL updates.ijnewhb.com/Update/CheckOnDemand?deviceid=6FC670F9-02B0-53EB-B235-D5E0C578C616&Distributer=mcmarket2&ChannelId=003&BarcodeId=56159003&country=US&encrypt=false&ismac=true,2020-03-06
4,10.1.134.10,csauerwald,vsys1,Repeatedly visited (160) the same malicious URL mobiclean.xyz/,2020-03-06
4,10.1.183.180,jerechen,vsys1,Repeatedly visited (135) the same malicious URL roxlock.com/,2020-03-06
4,10.1.154.245,zkluger,vsys1,Repeatedly visited (126) the same malicious URL watchserieshd.cc/,2020-03-06
4,10.1.212.115,yanjlin,vsys1,Repeatedly visited (437) the same malicious URL foundfax.com/,2020-03-06
Confidence,Source address,Source User,Virtual System,Description,2020-03-03
4,10.1.143.53,bruzsicska,vsys1,Repeatedly visited (146) the same malicious URL perftraff.com/,2020-03-06
4,10.1.193.255,jiqcao,vsys1,Repeatedly visited (347) the same malicious URL borpillshop.com/,2020-03-06
4,10.1.238.56,mcjordan,vsys1,Repeatedly visited (146) the same malicious URL perftraff.com/,2020-03-06
4,10.1.253.37,younseo,vsys1,Repeatedly visited (661) the same malicious URL linkangood.com/,2020-03-06
4,10.1.218.247,jiaypan,vsys1,Repeatedly visited (1135) the same malicious URL clogitec.com/,2020-03-06
4,10.1.203.63,pasante,vsys1,Repeatedly visited (162) the same malicious URL updates.ijnewhb.com/Update/CheckOnDemand?deviceid=8B224F73-9621-5B25-B267-B16F3829C8D4&Distributer=mcmarket&ChannelId=003&BarcodeId=53027003&country=US&encrypt=false&ismac=true,2020-03-06
4,10.1.149.156,kshabazz,vsys1,Repeatedly visited (470) the same malicious URL work.a-poster.info:25000/,2020-03-06
Confidence,Source address,Source User,Virtual System,Description,2020-03-04
4,10.1.164.116,mzhang,vsys1,Repeatedly visited (168) the same malicious URL router.incognit.net/api/getVPNStatus/,2020-03-05
4,10.1.133.54,jpeshansky,vsys1,Repeatedly visited (141) the same malicious URL roxlock.com/,2020-03-05
Confidence,Source address,Source User,Virtual System,Description,2020-03-05
4,10.1.254.191,welin,vsys1,Repeatedly visited (322) the same malicious URL linkangood.com/,2020-03-05
4,10.1.194.66,ccolella,vsys1,Repeatedly visited (171) the same malicious URL tj.kpzip.com/kuaizipreport/kuaizipreport/common_action?code=a2V5XzEJZTExMjU3NjA2ODQ5ODljNWM4NmM1YWUzNGUxODRhNmEJCUU2RUEyODU0MjdDRUI2NEEzMEVBQUVEMERFQjlERjFFCUtaUmVwb3J0LmV4ZQlLdWFpWmlwCQlXTDFMTTJDTCxkZmI4NzIxMTM3MTFkYjJlMmZjMGNiYjNiY2VhMzIyZjVmYWUzOTZiNDU4N2M0YWFmYWI2MWI4NDk2ZjE3M2U1CUJGRUJGQkZGMDAwODA2RUIJNkMtMkItNTktMzMtNkYtQTMJV2luZG93cyAxMCBIb21lIENoaW5hLDAJcnRsCXVwZGF0ZWNoZWNrZXIuZG8tc2NyaXB0LWZhaWx1cmUJCQkJCQkuLi5hdG9yXERlc2t0b3BcdGVzdGVyXEx1YVxrdWFpemlwXGJ1bmRsZV91cGRhdGVjaGVja2VyLmx1YTo0MjU6IHRpbWUgcmVzdWx0IGNhbm5vdCBiZSByZXByZXNlbnRlZCBpbiB0aGlzIGluc3RhbGxhdGlvbjtzdGFjayB0cmFjZWJhY2s6OztbQ106IGluIGZ1bmN0aW9uICdvcy50aW1lJzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6NDI1OiBpbiBmdW5jdGlvbiAnaW50ZXJ2YWwyJzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6NDYyOiBpbiBmdW5jdGlvbiAncmVwb3J0X29uZGF5Jzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6MzM4MjogaW4gbWFpbiBjaHVuaw==,2020-03-05
4,10.1.129.143,qighe,vsys1,Repeatedly visited (2019) the same malicious URL crisdomson.com/,2020-03-05
4,10.1.194.66,luxinzhang,vsys1,Repeatedly visited (329) the same malicious URL tj.kpzip.com/kuaizipreport/kuaizipreport/common_action?code=a2V5XzEJZTExMjU3NjA2ODQ5ODljNWM4NmM1YWUzNGUxODRhNmEJCUU2RUEyODU0MjdDRUI2NEEzMEVBQUVEMERFQjlERjFFCUtaUmVwb3J0LmV4ZQlLdWFpWmlwCQlXTDFMTTJDTCxkZmI4NzIxMTM3MTFkYjJlMmZjMGNiYjNiY2VhMzIyZjVmYWUzOTZiNDU4N2M0YWFmYWI2MWI4NDk2ZjE3M2U1CUJGRUJGQkZGMDAwODA2RUIJNkMtMkItNTktMzMtNkYtQTMJV2luZG93cyAxMCBIb21lIENoaW5hLDAJcnRsCXVwZGF0ZWNoZWNrZXIuZG8tc2NyaXB0LWZhaWx1cmUJCQkJCQkuLi5hdG9yXERlc2t0b3BcdGVzdGVyXEx1YVxrdWFpemlwXGJ1bmRsZV91cGRhdGVjaGVja2VyLmx1YTo0MjU6IHRpbWUgcmVzdWx0IGNhbm5vdCBiZSByZXByZXNlbnRlZCBpbiB0aGlzIGluc3RhbGxhdGlvbjtzdGFjayB0cmFjZWJhY2s6OztbQ106IGluIGZ1bmN0aW9uICdvcy50aW1lJzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6NDI1OiBpbiBmdW5jdGlvbiAnaW50ZXJ2YWwyJzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6NDYyOiBpbiBmdW5jdGlvbiAncmVwb3J0X29uZGF5Jzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6MzM4MjogaW4gbWFpbiBjaHVuaw==,2020-03-05
4,10.1.215.155,khonor,vsys1,Repeatedly visited (487) the same malicious URL billyjons.net/,2020-03-05
4,10.1.194.66,junhoh,vsys1,Repeatedly visited (192) the same malicious URL tj.kpzip.com/kuaizipreport/kuaizipreport/common_action?code=a2V5XzEJZTExMjU3NjA2ODQ5ODljNWM4NmM1YWUzNGUxODRhNmEJCUU2RUEyODU0MjdDRUI2NEEzMEVBQUVEMERFQjlERjFFCUtaUmVwb3J0LmV4ZQlLdWFpWmlwCQlXTDFMTTJDTCxkZmI4NzIxMTM3MTFkYjJlMmZjMGNiYjNiY2VhMzIyZjVmYWUzOTZiNDU4N2M0YWFmYWI2MWI4NDk2ZjE3M2U1CUJGRUJGQkZGMDAwODA2RUIJNkMtMkItNTktMzMtNkYtQTMJV2luZG93cyAxMCBIb21lIENoaW5hLDAJcnRsCXVwZGF0ZWNoZWNrZXIuZG8tc2NyaXB0LWZhaWx1cmUJCQkJCQkuLi5hdG9yXERlc2t0b3BcdGVzdGVyXEx1YVxrdWFpemlwXGJ1bmRsZV91cGRhdGVjaGVja2VyLmx1YTo0MjU6IHRpbWUgcmVzdWx0IGNhbm5vdCBiZSByZXByZXNlbnRlZCBpbiB0aGlzIGluc3RhbGxhdGlvbjtzdGFjayB0cmFjZWJhY2s6OztbQ106IGluIGZ1bmN0aW9uICdvcy50aW1lJzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6NDI1OiBpbiBmdW5jdGlvbiAnaW50ZXJ2YWwyJzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6NDYyOiBpbiBmdW5jdGlvbiAncmVwb3J0X29uZGF5Jzs7Li4uYXRvclxEZXNrdG9wXHRlc3RlclxMdWFca3VhaXppcFxidW5kbGVfdXBkYXRlY2hlY2tlci5sdWE6MzM4MjogaW4gbWFpbiBjaHVuaw==,2020-03-05
Confidence,Source address,Source User,Virtual System,Description,2020-03-08
Confidence,Source address,Source User,Virtual System,,Description,2020-03-08
Confidence,Source address,Source User,Virtual System,Description,2020-03-08
4,10.1.150.26,rbellis,vsys1,Repeatedly visited (102) the same malicious URL chatmusic.xyz/cl.exe,2020-03-08
Confidence,Source address,Source User,Virtual System,Description,2020-03-10
4,10.1.131.188,jofitzgerald,vsys1,Repeatedly visited (102) the same malicious URL mobiclean.xyz/,2020-03-10
Confidence,Source address,Source User,Virtual System,Description,2020-03-11
4,10.1.173.9,idwyer,vsys1,Repeatedly visited (928) the same malicious URL ebase-grid.com/update/filejo/chkver.dat,2020-03-11
Confidence,Source address,Source User,Virtual System,Description,2020-03-12
4,10.1.145.96,mquiroga,vsys1,Repeatedly visited (142) the same malicious URL work.a-poster.info:25000/,2020-03-12
4,10.1.131.106,xiaoqdeng,vsys1,Repeatedly visited (1120) the same malicious URL mobiclean.xyz/,2020-03-12
4,10.1.131.106,akarthikaich,vsys1,Repeatedly visited (1493) the same malicious URL mobiclean.xyz/,2020-03-12
Confidence,Source address,Source User,Virtual System,Description,2020-03-13
Confidence,Source address,Source User,Virtual System,,Description,2020-03-14
Confidence,Source address,Source User,Virtual System,Description,2020-03-15
Confidence,Source address,Source User,Virtual System,Description,2020-03-16
Confidence,Source address,Source User,Virtual System,Description,2020-03-17
Confidence,Source address,Source User,Virtual System,Description,2020-03-18
Confidence,Source address,Source User,Virtual System,Description,2020-03-19
4,10.1.229.96,rchan,vsys1,Repeatedly visited (2222) the same malicious URL www.2k20.vip/,2020-03-19
Confidence,Source address,Source User,Virtual System,Description,2020-03-20
Confidence,Source address,Source User,Virtual System,Description,2020-03-21
Confidence,Source address,Source User,Virtual System,Description,2020-03-22
Confidence,Source address,Source User,Virtual System,Description,2020-03-23
Confidence,Source address,Source User,Virtual System,Description,2020-03-24
Confidence,Source address,Source User,Virtual System,Description,2020-03-25
Confidence,Source address,Source User,Virtual System,Description,2020-03-26
Confidence,Source address,Source User,Virtual System,Description,2020-03-27
Confidence,Source address,Source User,Virtual System,,Description,2020-03-28
Confidence,Source address,Source User,Virtual System,Description,2020-03-29
Confidence,Source address,Source User,Virtual System,Description,2020-03-30
Confidence,Source address,Source User,Virtual System,Description,2020-03-31
Confidence,Source address,Source User,Virtual System,Description,2020-04-01
Confidence,Source address,Source User,Virtual System,Description,2020-04-02
Confidence,Source address,Source User,Virtual System,Description,2020-04-03
Confidence,Source address,Source User,Virtual System,Description,2020-04-04
Confidence,Source address,Source User,Virtual System,Description,2020-04-05
Confidence,Source address,Source User,Virtual System,Description,2020-04-06
Confidence,Source address,Source User,Virtual System,Description,2020-04-07
4,129.49.212.209,sunysb.edu\jalessio,vsys1,Repeatedly visited (120) the same malicious URL www.googletagmanager.com/,2020-04-07
4,129.49.6.110,sunysb.edu\kenolan,vsys1,Repeatedly visited (204) the same malicious URL www.googletagmanager.com/,2020-04-07
4,129.49.98.20,sunysb.edu\mblakeley,vsys1,Repeatedly visited (160) the same malicious URL static-global-s-msn-com.akamaized.net/,2020-04-07
4,129.49.203.11,sunysb.edu\jhanges,vsys1,Repeatedly visited (118) the same malicious URL static-global-s-msn-com.akamaized.net/,2020-04-07
Confidence,Source address,Source User,Virtual System,,Description,2020-04-08
Confidence,Source address,Source User,Virtual System,Description,2020-04-09
Confidence,Source address,Source User,Virtual System,Description,2020-04-10
Confidence,Source address,Source User,Virtual System,Description,2020-04-11
Confidence,Source address,Source User,Virtual System,Description,2020-04-12
Confidence,Source address,Source User,Virtual System,Description,2020-04-13
Confidence,Source address,Source User,Virtual System,Description,2020-04-14
Confidence,Source address,Source User,Virtual System,Description,2020-04-15
Confidence,Source address,Source User,Virtual System,Description,2020-04-16
Confidence,Source address,Source User,Virtual System,Description,2020-04-17
Confidence,Source address,Source User,Virtual System,Description,2020-04-18
Confidence,Source address,Source User,Virtual System,Description,2020-04-19
Confidence,Source address,Source User,Virtual System,Description,2020-04-20
Confidence,Source address,Source User,Virtual System,Description,2020-04-21
Confidence,Source address,Source User,Virtual System,Description,2020-04-22
4,129.49.218.91,sunysb.edu\jscarola,vsys1,Repeatedly visited (789) the same malicious URL brounelink.com/,2020-04-22
Confidence,Source address,Source User,Virtual System,Description,2020-04-23
Confidence,Source address,Source User,Virtual System,Description,2020-04-24
Confidence,Source address,Source User,Virtual System,Description,2020-04-25
Confidence,Source address,Source User,Virtual System,Description,2020-04-26
Confidence,Source address,Source User,Virtual System,Description,2020-04-27
Confidence,Source address,Source User,Virtual System,Description,2020-04-28
Confidence,Source address,Source User,Virtual System,Description,2020-04-29
Confidence,Source address,Source User,Virtual System,Description,2020-04-30
Confidence,Source address,Source User,Virtual System,Description,2020-05-01
Confidence,Source address,Source User,Virtual System,Description,2020-05-02
Confidence,Source address,Source User,Virtual System,Description,2020-05-03
Confidence,Source address,Source User,Virtual System,Description,2020-05-04
4,129.49.218.91,sunysb.edu\jhanges,vsys1,Repeatedly visited (336) the same malicious URL brounelink.com/,2020-05-04
Confidence,Source address,Source User,Virtual System,Description,2020-05-05
4,129.49.218.91,sunysb.edu\jscarola,vsys1,Repeatedly visited (554) the same malicious URL brounelink.com/,2020-05-05
Confidence,Source address,Source User,Virtual System,Description,2020-05-06
Confidence,Source address,Source User,Virtual System,Description,2020-05-07
Confidence,Source address,Source User,Virtual System,Description,2020-05-08
Confidence,Source address,Source User,Virtual System,Description,2020-05-09
Confidence,Source address,Source User,Virtual System,Description,2020-05-10
Confidence,Source address,Source User,Virtual System,Description,2020-05-11
Confidence,Source address,Source User,Virtual System,Description,2020-05-12
Confidence,Source address,Source User,Virtual System,Description,2020-08-04
Confidence,Source address,Source User,Virtual System,Description,2020-08-05
Confidence,Source address,Source User,Virtual System,Description,2020-08-06
4,129.49.218.91,sunysb.edu\jscarola,vsys1,Repeatedly visited (698) the same malicious URL brounelink.com/,2020-08-06
Confidence,Source address,Source User,Virtual System,Description,2020-08-07
Confidence,Source address,Source User,Virtual System,Description,2020-08-08
Confidence,Source address,Source User,Virtual System,Description,2020-08-09
Confidence,Source address,Source User,Virtual System,Description,2020-08-10
Confidence,Source address,Source User,Virtual System,Description,2020-08-10
Confidence,Source address,Source User,Virtual System,Description,2020-08-11
Confidence,Source address,Source User,Virtual System,Description,2020-08-12
Confidence,Source address,Source User,Virtual System,Description,2020-08-13
Confidence,Source address,Source User,Virtual System,Description,2020-08-14
Confidence,Source address,Source User,Virtual System,Description,2020-08-15
Confidence,Source address,Source User,Virtual System,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,Description,2020-08-16
Confidence,Source address,Source User,Virtual System,Description,2020-08-16
4,10.1.219.246,zhixhuang,vsys1,Repeatedly visited (51) the same malicious URL 80e2dc07941969417.temporary.link/,2020-08-16
Confidence,Source address,Source User,Virtual System,Description,2020-09-07
Confidence,Source address,Source User,Virtual System,,Description,2020-09-07
Confidence,Source address,Source User,Virtual System,Description,2020-09-07
Confidence,Source address,Source User,Virtual System,Description,2020-09-07
Confidence,Source address,Source User,Virtual System,Description,2020-09-08
4,129.49.218.91,sunysb.edu\jscarola,vsys1,Repeatedly visited (763) the same malicious URL brounelink.com/,2020-09-08
4,129.49.218.209,sunysb.edu\adwyer,vsys1,Repeatedly visited (120) the same malicious URL www.cheaterboard.com/,2020-09-08
4,129.49.45.251,sunysb.edu\animarino,vsys1,Repeatedly visited (588) the same malicious URL proudflex.org/,2020-09-08

